variable_name,description
M43,NA - Told about pregnancy complications
M44,NA - Told where to go for pregnancy complicatio 3480
M45,"During pregnancy, given or bought iron tablets/ 3486"
M46,Days tablets or syrup taken
M47,"NA - During pregnancy, had difficulty with dayl 3510"
M48,"NA - During pregnancy, had difficulty with nigh 3516"
M49A,During pregnancy took: SP/fansidar for malaria
M49B,NA - During pregnancy took: chloroquine for mal 3528
M49C,NA - During pregnancy took: CS drug for malaria 3534
M49D,NA - During pregnancy took: CS drug for malaria 3540
M49E,NA - During pregnancy took: CS drug for malaria 3546
M49F,NA - During pregnancy took: CS drug for malaria 3552
M49G,NA - During pregnancy took: CS drug for malaria 3558
M49X,NA - During pregnancy took: other drug for mala 3564
M49Z,NA - During pregnancy took: don't know
M49Y,NA - During pregnancy took: no drug for malaria 3576
M54,NA - Received Vitamin A dose in first 2 months
M55,Given child anything other than breast milk
M57A,Antenatal care: respondent's home
M57B,Antenatal care: other home
M57C,NA - Antenatal care: CS home
M57D,NA - Antenatal care: CS home
M57E,Antenatal care: Public hospital/University Clin 3618
M57F,Antenatal care: Provincial Hospital
M57G,Antenatal care: General reference hospital
M57H,Antenatal care: Hospital Centre/Reference healt 3636
M57I,Antenatal care: Health Centre
M57J,Antenatal care: Health Post/Dispensary
M57K,Antenatal care: Other public facility
M57L,NA - Antenatal care: CS public health
M57M,Antenatal care: private hospital
M57N,Antenatal care: Clinic/polyclinic
M57O,Antenatal care: Private: Health Centre
M57P,Antenatal care: Doctor/Medical practice
M57Q,Antenatal care: Maternity
M57R,Antenatal care: Other private medical (inc.mobi 3696
M57NA,Antenatal care: NGO hospital
M57NB,Antenatal care: NGO clinic
M57NC,Antenatal care: Other NGO
M57ND,NA - Antenatal care: NGO medical
M57NE,NA - Antenatal care: NGO medical
M57S,NA - Antenatal care: CS other
M57T,NA - Antenatal care: CS other
M57U,NA - Antenatal care: CS other
M57V,NA - Antenatal care: CS other
M57X,Antenatal care: other
M60,Drugs for intestinal parasites during pregnancy 3762
M61,Time spent at place of delivery
M62,Respondent's health checked after delivery befo 3786
M63,How long after delivery respondent's health che 3792
M64,Who checked respondent's health before discharg 3810
M66,Respondent's health checked after discharge/del 3822
M67,How long after delivery respondent's health che 3828
M68,Who checked respondent's health after discharge 3846
M69,Where respondent's check after discharge/delive 3858
M70,Child's health checked after discharge/delivery 3870
M71,How long after delivery child's health check (a 3876
M72,Who checked child's health after discharge/home 3894
M73,Where child's health check after discharge/home 3906
M74,Child's health checked before discharge
M75,How long after delivery child's health check be 3924
M76,Who checked child's health before discharge
M77,Was child put on mother's chest and bare skin a 3954
M77A,Time after birth baby was put on bare skin
M78A,During first 2 days health provider: examine co 3972
M78B,During first 2 days health provider: measure te 3978
M78C,During first 2 days health provider: signs baby 3984
M78D,During first 2 days health provider: counsel on 3990
M78E,During first 2 days health provider: observe br 3996
M78F,During first 2 days health provider: measure bl 4002
M78G,During first 2 days health provider: discuss va 4008
M78H,During first 2 days health provider: discuss fa 4014
M78I,NA - During first 2 days health provider: tell
M78J,NA - During first 2 days health provider: ask i 4026
M78K,NA - During first 2 days health provider: ask i 4032
M78L,NA - During first 2 days health provider: ask i 4038
M78M,NA - During first 2 days health provider: CS
M78N,NA - During first 2 days health provider: CS
M78O,NA - During first 2 days health provider: CS
M78P,NA - During first 2 days health provider: CS
M80,Pregnancy outcome for this section
M81A,Place obtained iron tablets/syrup: National Hos 4074
M81B,Place obtained iron tablets/syrup: Provincial H 4080
M81C,Place obtained iron tablets/syrup: General refe 4086
M81D,Place obtained iron tablets/syrup: Hospital Cen 4092
M81E,Place obtained iron tablets/syrup: Health Centr 4098
M81F,Place obtained iron tablets/syrup: Healh post/D 4104
M81G,Place obtained iron tablets/syrup: Health Commu 4110
M81H,Place obtained iron tablets/syrup: Public secto 4116
M81I,NA - Place obtained iron tablets/syrup: CS publ 4122
M81J,Place obtained iron tablets/syrup: Private hosp 4128
M81K,Place obtained iron tablets/syrup: Private clin 4134
M81L,Place obtained iron tablets/syrup: Phamarcy
M81M,Place obtained iron tablets/syrup: Health Centr 4146
M81N,Place obtained iron tablets/syrup: Doctor/Medic 4152
M81O,Place obtained iron tablets/syrup: Maternity
M81P,Place obtained iron tablets/syrup: Mobile clini 4164
M81Q,Place obtained iron tablets/syrup: Private Fiel 4170
M81R,Place obtained iron tablets/syrup: Other privat 4176
M81NA,Place obtained iron tablets/syrup: NGO hospital 4182
M81NB,Place obtained iron tablets/syrup: NGO Clinic
M81NC,Place obtained iron tablets/syrup: NGO  Other m 4194
M81ND,NA - Place obtained iron tablets/syrup: CS NGO
M81NE,NA - Place obtained iron tablets/syrup: CS NGO
M81S,Place obtained iron tablets/syrup: Shop
M81T,Place obtained iron tablets/syrup: Market
M81U,NA - Place obtained iron tablets/syrup: CS othe 4224
M81V,NA - Place obtained iron tablets/syrup: CS othe 4230
M81W,NA - Place obtained iron tablets/syrup: CS othe 4236
M81X,Place obtained iron tablets/syrup: other
M82,NA - During pregnancy received food/cash throug 4248
ML0,Type of mosquito bed net(s) child slept under l 4254
ML1,Number of times took fansidar during pregnancy
ML2,Source of antimalarial during pregnancy
MNB1,NA - Time after birth child was bathed
MNB3,NA - Device used to cut the cord
MNB4,NA - Was the device new or had it been used bef 4302
MNB5,NA - Was the device boiled before used to cut t 4308
MNB6,NA - Anything applied to the cord from the time 4314
MNB7A,NA - What was applied to the cord: chlorhexidin 4320
MNB7B,NA - What was applied to the cord: other antise 4326
MNB7C,NA - What was applied to the cord: mustard oil
